package,version,license,license_source,direct_dependency,dev_dependency,resolved,package_path,license_file
@babel/code-frame,7.29.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/code-frame/-/code-frame-7.29.0.tgz,node_modules/@babel/code-frame,node_modules/@babel/code-frame/LICENSE
@babel/compat-data,7.29.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/compat-data/-/compat-data-7.29.0.tgz,node_modules/@babel/compat-data,node_modules/@babel/compat-data/LICENSE
@babel/core,7.29.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/core/-/core-7.29.0.tgz,node_modules/@babel/core,node_modules/@babel/core/LICENSE
@babel/generator,7.29.1,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/generator/-/generator-7.29.1.tgz,node_modules/@babel/generator,node_modules/@babel/generator/LICENSE
@babel/helper-compilation-targets,7.28.6,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-compilation-targets/-/helper-compilation-targets-7.28.6.tgz,node_modules/@babel/helper-compilation-targets,node_modules/@babel/helper-compilation-targets/LICENSE
@babel/helper-globals,7.28.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-globals/-/helper-globals-7.28.0.tgz,node_modules/@babel/helper-globals,node_modules/@babel/helper-globals/LICENSE
@babel/helper-module-imports,7.28.6,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-module-imports/-/helper-module-imports-7.28.6.tgz,node_modules/@babel/helper-module-imports,node_modules/@babel/helper-module-imports/LICENSE
@babel/helper-module-transforms,7.28.6,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-module-transforms/-/helper-module-transforms-7.28.6.tgz,node_modules/@babel/helper-module-transforms,node_modules/@babel/helper-module-transforms/LICENSE
@babel/helper-plugin-utils,7.28.6,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-plugin-utils/-/helper-plugin-utils-7.28.6.tgz,node_modules/@babel/helper-plugin-utils,node_modules/@babel/helper-plugin-utils/LICENSE
@babel/helper-string-parser,7.27.1,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-string-parser/-/helper-string-parser-7.27.1.tgz,node_modules/@babel/helper-string-parser,node_modules/@babel/helper-string-parser/LICENSE
@babel/helper-validator-identifier,7.28.5,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-validator-identifier/-/helper-validator-identifier-7.28.5.tgz,node_modules/@babel/helper-validator-identifier,node_modules/@babel/helper-validator-identifier/LICENSE
@babel/helper-validator-option,7.27.1,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helper-validator-option/-/helper-validator-option-7.27.1.tgz,node_modules/@babel/helper-validator-option,node_modules/@babel/helper-validator-option/LICENSE
@babel/helpers,7.28.6,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/helpers/-/helpers-7.28.6.tgz,node_modules/@babel/helpers,node_modules/@babel/helpers/LICENSE
@babel/parser,7.29.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/parser/-/parser-7.29.0.tgz,node_modules/@babel/parser,node_modules/@babel/parser/LICENSE
@babel/plugin-transform-react-jsx-self,7.27.1,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/plugin-transform-react-jsx-self/-/plugin-transform-react-jsx-self-7.27.1.tgz,node_modules/@babel/plugin-transform-react-jsx-self,node_modules/@babel/plugin-transform-react-jsx-self/LICENSE
@babel/plugin-transform-react-jsx-source,7.27.1,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/plugin-transform-react-jsx-source/-/plugin-transform-react-jsx-source-7.27.1.tgz,node_modules/@babel/plugin-transform-react-jsx-source,node_modules/@babel/plugin-transform-react-jsx-source/LICENSE
@babel/runtime,7.28.6,MIT,package-lock,false,false,https://registry.npmjs.org/@babel/runtime/-/runtime-7.28.6.tgz,node_modules/@babel/runtime,node_modules/@babel/runtime/LICENSE
@babel/template,7.28.6,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/template/-/template-7.28.6.tgz,node_modules/@babel/template,node_modules/@babel/template/LICENSE
@babel/traverse,7.29.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/traverse/-/traverse-7.29.0.tgz,node_modules/@babel/traverse,node_modules/@babel/traverse/LICENSE
@babel/types,7.29.0,MIT,package-lock,false,true,https://registry.npmjs.org/@babel/types/-/types-7.29.0.tgz,node_modules/@babel/types,node_modules/@babel/types/LICENSE
@dimforge/rapier3d-compat,0.12.0,Apache-2.0,package-lock,false,false,https://registry.npmjs.org/@dimforge/rapier3d-compat/-/rapier3d-compat-0.12.0.tgz,node_modules/@dimforge/rapier3d-compat,node_modules/@dimforge/rapier3d-compat/LICENSE
@esbuild/aix-ppc64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/aix-ppc64/-/aix-ppc64-0.27.2.tgz,node_modules/@esbuild/aix-ppc64,
@esbuild/android-arm,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/android-arm/-/android-arm-0.27.2.tgz,node_modules/@esbuild/android-arm,
@esbuild/android-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/android-arm64/-/android-arm64-0.27.2.tgz,node_modules/@esbuild/android-arm64,
@esbuild/android-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/android-x64/-/android-x64-0.27.2.tgz,node_modules/@esbuild/android-x64,
@esbuild/darwin-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/darwin-arm64/-/darwin-arm64-0.27.2.tgz,node_modules/@esbuild/darwin-arm64,
@esbuild/darwin-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/darwin-x64/-/darwin-x64-0.27.2.tgz,node_modules/@esbuild/darwin-x64,
@esbuild/freebsd-arm64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/freebsd-arm64/-/freebsd-arm64-0.27.2.tgz,node_modules/@esbuild/freebsd-arm64,
@esbuild/freebsd-x64,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/freebsd-x64/-/freebsd-x64-0.27.2.tgz,node_modules/@esbuild/freebsd-x64,
@esbuild/linux-arm,0.27.2,MIT,package-lock,false,true,https://registry.npmjs.org/@esbuild/linux-arm/-/linux-arm-0.27.2.tgz,node_modules/@esbuild/linux-arm,
